"subj","run","trial","curiosityZ","curiosityCond","curHighLow","likelihoodZ","delay","motor","motorMisses","motorRTs","memory","Q_VTA_50_noSN_bin_mean_act","Q_VTA_50_noSN_bin_p2c","Q_HPC_mean_act","Q_HPC_p2c","Q_PHC_mask_MNI152_bin_mean_act","Q_PHC_mask_MNI152_bin_p2c","Q_PRC_mask_MNI152_bin_mean_act","Q_PRC_mask_MNI152_bin_p2c","A_VTA_50_noSN_bin_mean_act","A_VTA_50_noSN_bin_p2c","A_HPC_mean_act","A_HPC_p2c","A_PHC_mask_MNI152_bin_mean_act","A_PHC_mask_MNI152_bin_p2c","A_PRC_mask_MNI152_bin_mean_act","A_PRC_mask_MNI152_bin_p2c"
108,1,8,-0.427038666793063,-1,0,0.0365595463626635,9,0,0,0,0,0.980113422250724,0.488552096615192,0.263453682454448,0.729174935280488,2.01835261104914,0.354842769910114,0.497822093951982,1.11971430659886,0.451338028985447,1.22981512905129,-0.224055358369942,0.724137674803196,0.835371855377882,0.449971910382257,-0.309638473030645,0.621535559189797
108,1,9,0.794658429363942,1,1,2.08302882796502,9,1,0,0.42258365896123,1,0.69921620531386,0.522270860422131,0.254409044753604,0.911678242101806,-0.35558890319337,0.951955121340885,0.0435746769311663,1.27779706651906,0.816015053336741,0.795319004276331,0.894787459090665,0.558356755003677,0.422447792524451,0.324830273729624,1.11870667902695,0.880760177910856
108,1,10,1.12357687832929,1,1,2.49946153061666,13,1,0,0.555184660261148,1,0.872143922891155,0.586759618992897,0.596885514071065,0.909599920030915,0.605505616746021,0.182601297523328,-0.000571066048382818,0.777691807828537,0.428225500578264,0.570175152651281,0.269065071046176,0.732810452846188,0.190143562702311,0.482106871647659,0.301507977420988,0.665328358546816
108,1,11,1.50888134711727,1,1,-0.772509704503383,9,1,0,0.687746116847848,1,-0.975710774713662,0.974068634796357,-0.721408173965895,0.712090309716019,-0.626349113579537,0.573695518729973,-0.366684179755976,0.66983811345857,-0.884502655747383,1.3694275523042,-0.414491799274889,0.713276400002805,-0.415241721526694,0.628105295615922,-0.482628970348742,0.800116242265961
108,1,12,-0.671378086024464,-1,0,0.405399940139832,9,1,0,0.532206761548878,0,-1.97219114111795,1.09945023036404,-0.0846473242155696,0.959246151505734,0.27577558299579,0.640734347843143,-0.824582320687477,0.618002886233585,-0.0077331298189165,1.14681135050781,0.140660942256132,1.05372065715435,0.29986863741798,1.17428545753678,0.148997765187232,0.868119969941339
108,1,13,0.832249109245696,1,1,0.976507646633511,9,0,0,0,0,0.210194233805396,0.552215647162143,0.402594132198014,0.728071169935867,0.520201784940353,0.317930328502337,0.0319347390872281,1.19938927765,0.618013728717415,0.992030632740534,0.500544682938748,0.758225736840188,1.18317471307006,0.572575826674495,0.553421493512724,1.03236361354287
108,1,14,-0.605594396231394,-1,0,-0.570242391786871,13,0,0,0,0,0.0808818430355132,1.13191755367382,0.224758642806651,0.893541665946848,0.287225434950947,0.969436432612883,0.587990036742121,0.901868794935392,-0.922487567640928,1.41049125952818,0.0346936495418371,1.29860389388474,-0.101864645071433,1.44650580011221,-0.671271661348874,1.16707938689591
108,1,15,1.10478153838841,1,1,-0.0824212258235198,13,0,0,0,1,0.0849789176506874,1.23387434588889,-0.504500071983048,0.813059884531396,0.292246673191134,0.9384265426509,0.090209275183588,0.766633199439682,-0.932135396189551,1.25390100178395,-0.322314272571921,1.01146246912815,-0.324206654896943,1.22559104080406,-0.401394696069474,0.739149269015685
108,1,16,1.16116755821104,1,1,1.57141150756443,13,0,0,0,0,1.10312502393572,1.22070791521756,1.08988282076636,0.667022474456509,0.159471386984863,0.255347792579491,0.869300122870482,0.826480989487219,-0.3773685498345,0.517963723228284,0.00719572327356406,0.689222729974527,0.00447017682804348,1.49668768375853,0.245710021021659,0.756582983431009
108,1,17,0.108628521521932,0,NA,-0.58214046900549,9,0,0,0,NA,0.49401578061952,0.873857200953378,-0.0102499327114044,0.789357454327118,0.30091537129297,0.569541791583765,-0.0472892434392634,0.764104368875959,-2.08691785193514,1.702058485333,-0.443684712202994,1.22390579469176,-0.78483163344549,1.02252953497691,-0.742490992714011,0.501852023686512
108,1,18,-1.4137940136891,-1,0,-0.689223163973054,13,0,0,0,0,-0.998927150358213,0.890045491612776,-0.797835539450611,0.923027224544654,-0.592636322447409,1.30527379146003,-0.393928021877582,0.74843632482272,0.4231164406674,0.535978778716062,-0.974103605832916,0.630598653229985,0.292211756053557,0.928510417666956,-0.770751700356777,1.17561650315521
108,1,19,-1.93066586206322,-1,0,-0.974777017219894,9,1,0,0.494684253513697,0,-0.280562944033591,1.00686032066154,0.972422621890377,0.964189097781734,0.372773958426724,0.625834004871321,-0.15336957177642,0.647830248154236,-2.40103541423741,1.67126307162028,-0.481899256081939,1.10110855931569,-0.57428417728885,1.306813854236,-1.23127853526603,0.733659740836115
108,1,20,-1.48897537345261,-1,0,-0.629732777879963,9,0,0,0,1,-2.3201865166011,1.49318228816968,0.521823636165282,1.24390521763493,0.382240036429065,0.298028543826838,-0.465347269912809,0.399391014462251,-0.153876805650725,1.01640439742081,0.359601633935171,0.842465707150899,1.27273608810428,0.269572942204746,-0.177447131722147,0.650460529956098
108,1,21,1.09538386841797,1,1,0.464890326232923,13,1,0,0.477236880440614,0,0.888594250692677,1.21698604968423,0.393743898127818,0.892502541550272,0.180470748932462,0.421413587523096,0.375164517360827,0.869245753815889,1.26188329246179,0.686102995450726,-0.602060333071862,0.952909345066863,0.0539840462214842,0.438941468219366,0.186815194378141,0.80421121151904
108,1,22,0.700681729659557,1,1,-0.891490476689566,9,1,0,0.638547954004025,1,1.43435387210047,0.397285206474077,-0.685906982753851,0.586576849585281,0.0769261532845416,0.557476787842522,0.402191799589491,0.758010186980403,-0.721692690787677,0.839102671508165,-0.313574740297939,0.958636993665621,0.238805990905274,0.266175713884061,-1.08079054740483,0.40443284010883
108,1,23,-1.23523828425077,-1,0,-0.891490476689566,9,1,0,0.558172852703137,0,1.10327829235575,0.697281111101909,-0.948431449651717,0.580228618268137,-0.462878978485949,1.22856440462944,0.22083785226132,0.910012123528217,-0.408050939015084,0.729150020164132,-1.20473431815213,0.704147009979077,-0.76727377155351,0.708822654602225,-0.714797379395168,0.884479707075678
